task_id,group3,occupation_title,task_text,human_score_E0_E1_E2,notes
6224.0300-t02,622,Trappers,"Selects location, sets bait and camouflages traps.","",""
6224.0300-t03,622,Trappers,Removes captured animal..,"",""
6224.0300-t04,622,Trappers,May specialize in catching particular type of animal or birds.,"",""
6224.0300-t05,622,Trappers,"May prepare nets, cages and other snares for trapping animals and birds.","",""
6210.0100-t01,621,Forester; Forest Range Assistant,"develops nurseries, raises plantations and supervises duties of Forest Guard and Forest Fire Watcher and assists Forest Ranger in devel opment of forest and exploitation of its produce.","",""
6210.0100-t02,621,Forester; Forest Range Assistant,Raises nurseries of various plants required for afforestation.,"",""
6210.0100-t03,621,Forester; Forest Range Assistant,Raises plantations from replanted seedlings.,"",""
6210.0100-t04,621,Forester; Forest Range Assistant,"Arranges for weeding, marking and felling of trees within his block and issues transit and other p asses.","",""
6210.0100-t05,621,Forester; Forest Range Assistant,Supervises fire-fighting operations and protects forest produce from theft and poaching.,"",""
6210.0100-t06,621,Forester; Forest Range Assistant,Maintains records of timber felled for sale.,"",""
6210.0100-t07,621,Forester; Forest Range Assistant,"Enquires and reports occurrence of theft, fire, illegal cultivation, etc. to higher authorities.","",""
6210.0100-t08,621,Forester; Forest Range Assistant,"Supervises work of mazdoors engaged in forest work, maintains their muster roll and arranges payment of their wages.","",""
6210.0100-t09,621,Forester; Forest Range Assistant,May estimate quality and volume of wood available in his section.,"",""
6210.0100-t10,621,Forester; Forest Range Assistant,May collect grazing fees and compensation for offences.,"",""
7535.0100-t01,753,"Sorter, Hides and Skin",S sorts and grades hides and skins before or after processing .,"",""
7535.0100-t02,753,"Sorter, Hides and Skin","Examines hides for weight, thickness and colour and checks quality by touch; inspects hides for defects, such as bran into groups; selects hides suitable for processing;' examines and grades processed hides rejecting and returning hides for reprocessing wh ere necessary.","",""
7535.0100-t03,753,"Sorter, Hides and Skin","May be designated according to material sorted as CALF SKIN SORTER, PATENT LEATHER SORTER.","",""
7115.0100-t01,711,"Carpenter, General","Makes, assembles, alters and repairs wooden structures and articles according to sample or drawing using hand or power tools or both.","",""
7115.0100-t02,711,"Carpenter, General",Studies drawing on sample to understand type of structure or article to be made and calculates quan tity of timber required.,"",""
7115.0100-t03,711,"Carpenter, General",Selects timber to suit requirements.,"",""
7115.0100-t04,711,"Carpenter, General","Marks them to size using square, scriber etc.","",""
7115.0100-t05,711,"Carpenter, General","Saws, chisels and planes wooden pieces to required sizes and makes necessary joints such as half lap, Tenon mortice, dove-tail etc. using saws, plan es, mortising, chisels, drills and other carpentry hand or power tools as required.","",""
7115.0100-t06,711,"Carpenter, General","Checks parts frequently with square, foot rule, measuring tape etc. to ensure correctness.","",""
7115.0100-t07,711,"Carpenter, General","Assembles parts and secures them in position by screwing, nailing or doweling.","",""
7115.0100-t08,711,"Carpenter, General","Checks assembled structure with drawing or sample; rectifies defects if any, and finishes it to required specifications.","",""
7115.0100-t09,711,"Carpenter, General","Alters, repairs or replaces components in case of old structures or articles in similar manner.","",""
7115.0100-t10,711,"Carpenter, General",May glue parts together.,"",""
7115.0100-t11,711,"Carpenter, General",May smoothen and finish surface with sand paper and polish.,"",""
7115.0100-t12,711,"Carpenter, General",May fix metal fittings to structure and polish.,"",""
7115.0100-t13,711,"Carpenter, General",May fix metal fittings to structure or article made.,"",""
7115.0100-t14,711,"Carpenter, General",May calculate cost of furniture.,"",""
7115.0100-t15,711,"Carpenter, General",May sharpen his own tools.,"",""
7313.0100-t01,731,"Roller, Gold and Silver","Roller, Gold and Silv er makes silver and gold sheets of varied thickness by process of rolling.","",""
7313.0100-t02,731,"Roller, Gold and Silver",Adjusts roll gap of rolling machine by means of handle operating gearing system machine.,"",""
7313.0100-t03,731,"Roller, Gold and Silver","Takes required weight and size of metal piece (caste and annealed if necessary) and carefull y inserts it in between roller, keeping it pressed against bottom roller.","",""
7313.0100-t04,731,"Roller, Gold and Silver","Checks thickness of sheet after each rolling, reduces roll gap and repeats process until required thickness is obtained.","",""
7313.0100-t05,731,"Roller, Gold and Silver",Ensures that texture of sheet or foil does not get spoilt dur ing rolling.,"",""
7313.0100-t06,731,"Roller, Gold and Silver",May prepare sheets or foils manually by process of hammering and flattening.,"",""
7313.0100-t07,731,"Roller, Gold and Silver",May anneal sheet or foil after rolling.,"",""
7233.0100-t01,723,"Fitter, General Fitter Genera","lsizes metal parts to close tolerances and fits and assembles them using hand tools for production or repairs of machines, or other metal products.","",""
7233.0100-t02,723,"Fitter, General Fitter Genera","Studies drawings to understand specification of different parts, fittings or assembles to be made and their functions.","",""
7233.0100-t03,723,"Fitter, General Fitter Genera","Cuts and shapes required parts dimensions and specifications by processes of sawing, clipping, filing, grinding, drilling holes, screw cutting, scrapping etc., Assembles parts by riveting, screwing, pinning etc.","",""
7233.0100-t04,723,"Fitter, General Fitter Genera",So as to make complete unit according to drawing.,"",""
7233.0100-t05,723,"Fitter, General Fitter Genera","Dismantles or removes worn out, broken or defective parts using hand tools and replaces them by repaired or new ones.","",""
7233.0100-t06,723,"Fitter, General Fitter Genera",Tests completed article to ensure correct performance.,"",""
7233.0100-t07,723,"Fitter, General Fitter Genera","May do simple turning, planning and shaping of parts on machines and perform welding, brazing, annealing, hardening, tempering and, like operations.","",""
7233.0100-t08,723,"Fitter, General Fitter Genera",May specialize in particular type of machine or product and be designated accordingly.,"",""
7233.0100-t09,723,"Fitter, General Fitter Genera",May suggest alterations.,"",""
7514.0100-t01,751,Oil Expeller Man,"Oil Expeller Operator tends machine that presses oil seeds, such as cotton seed, copra, castor seed to extract oil.","",""
7514.0100-t02,751,Oil Expeller Man,"Feeds moistened oil seeds into hopper of machine; turns hand wheels to adjust rollers to flatten oil seed; turns control of heat drier to sp ecified temperature and opens chute to admit flattened oil seed to drier; turns steam valve of heat cooker to cook dried oils seed; turns hand wheels to adjust roller pressure of oil expeller; feels samples of expelled oil seed to determine that sufficient quantity of oil has been removed; ensures that pressed seed cakes are released at discharge end and that oil flows into oil tank from peripheral surface of expeller; stops machine when jammed and makes necessary adjustments to maintain continuous, product ion keeps work place clean and tidy.","",""
7514.0100-t03,751,Oil Expeller Man,May filter oil in cloth-filter press.,"",""
7132.0100-t01,713,"Painter, General","Applies decorative or protective coats of paint, varnish, shellac, enamel, lacquer or other materials on exterior or interior surfaces, trimming and fixtures of glass, metal, wood, plaster concrete brick, building boards or other objects u sing brush, spray gun, roller, stencils etc.","",""
7132.0100-t02,713,"Painter, General","Receives work order and selects correct type of paint materials with the consideration to suitability, durability, ease of application and estimated cost.","",""
7132.0100-t03,713,"Painter, General","Mixes pigments, oils and other ingredients to material w here required by manual or mechanical mixing device using paddle or electric mixer to obtain desired colour, shade and consistency.","",""
7132.0100-t04,713,"Painter, General","Removes dirt, grease or rough spots and irregularities by scrapers, chemicals and abrasives and patches cracks and holes wit h putty or other filler.","",""
7132.0100-t05,713,"Painter, General",Covers surface with appropriate prime coat or sealer to have suitable surface or base for paint.,"",""
7132.0100-t06,713,"Painter, General","Brushes, sprays or stencils one or more coats of material on surfaces.","",""
7132.0100-t07,713,"Painter, General","May finish or decorate surfaces by gilding, silvering or painti ng over stencils.","",""
7132.0100-t08,713,"Painter, General",May be designated according to object coated or material used.,"",""
7132.0100-t09,713,"Painter, General","May mix paint with linseed oil, colouring matter of materials, labour, etc.","",""
7132.0100-t10,713,"Painter, General",May erect scaffolds to facilitate work.,"",""
7126.0101-t01,712,"Plumber, General","Lays out, assembles, installs and maintains sanitary fittings and fixtures, sewage and drainage systems, heating and sanitary systems, gas and water pipe lines etc.","",""
7126.0101-t02,712,"Plumber, General","Receives instructions from Sanitary Engineer or Civil Engineer regarding lay out of pipes, gas or water mains, position of fixtures and fittings, etc.","",""
7126.0101-t03,712,"Plumber, General",Examines drawings or o ther specifications regarding size and dimensions of area where sanitary fittings or pipe are to be fitted or laid.,"",""
7126.0101-t04,712,"Plumber, General",Marks points at places to indicate position for fixing brackets and laying pipes.,"",""
7126.0101-t05,712,"Plumber, General","Drills passage holes in walls or floor of premises and fix es necessary brackets, stands, holders etc. to keep or hold fittings and fixtures in position, using nuts, bolts, clamps etc. and tightens them with hand tools.","",""
7126.0101-t06,712,"Plumber, General","Cuts reams, threads and bends pipes as appropriate.","",""
7126.0101-t07,712,"Plumber, General",Ensures that pipe lines are laid properly b y Pipe Fitter.,"",""
7126.0101-t08,712,"Plumber, General","Joins pipes with sockets, Tees, elbow etc. or with molten lead or lead wool.","",""
7126.0101-t09,712,"Plumber, General",Caulks joints (operation of making joint seam tight to withstand pressure) and tests them for leaks with pneumatic or hydraulic pressure.,"",""
7126.0101-t10,712,"Plumber, General","May repair and maintain se werage and pipe lines by replacing washers on leaky faucets, mending burst pipes, opening clogged drains, etc.","",""
7126.0101-t11,712,"Plumber, General","May do lead burning, dressing and bossing of lead pipe and sheet lead, inlaying of wooden tanks, construction of septic tanks etc.","",""
8322.0100-t01,832,"Driver, Car, Chauffeur",drives motor car according to owner's requirement as paid employee.,"",""
8322.0100-t02,832,"Driver, Car, Chauffeur",Observes road signals and traffic rules.,"",""
8322.0100-t03,832,"Driver, Car, Chauffeur",Attends to minor repairs.,"",""
8322.0100-t04,832,"Driver, Car, Chauffeur",May wash and polish car and maintain log book for journey.,"",""
8322.0100-t05,832,"Driver, Car, Chauffeur",May also do odd jobs and run office or house-hold errands.,"",""
8331.0100-t01,833,Tram Car Driver,Drives electric tram cars on scheduled routes in cities for transporting passengers to different localities.,"",""
8331.0100-t02,833,Tram Car Driver,"Checks before start that tram is in perfect running condition and all requisite material such as sidelights, tail lamp, gong, first aid box, etc. are provided in it; starts tram at scheduled time under directions or signal from Depot Starter, Tram; controls movement of tram in response to traffic signals, and signals given by Tram Conductor; studies running time schedules and adjusts movement of tram i.e. arrival and departure at specific places, accordingly, or acts under instructions from Traffic R egulator, Tram assists passengers in emergency; directs Poleman, Tram to connect tram car pole with overhead electric line in required direction, keeps simple record of defects noticed in tram or in track.","",""
8331.0100-t03,833,Tram Car Driver,May collect fares and issue tickets in small tram or in absence of Tram Conductor.,"",""
8156.0100-t01,815,Pounding Machine Operator (Foot-Wear),Pounding Machine Operator (Footwear) operates machine to pound (grind off) roughness from lasted shoe-uppers.,"",""
8156.0100-t02,815,Pounding Machine Operator (Foot-Wear),Starts machine.,"",""
8156.0100-t03,815,Pounding Machine Operator (Foot-Wear),"Holds and rotates shoe against emery wheel to flatten lower edge of lasted shoe-upper, smooth rough edges and even heads of nails.","",""
8156.0100-t04,815,Pounding Machine Operator (Foot-Wear),"Removes, cuts, off or dri ves in any protruding nails.","",""
8156.0100-t05,815,Pounding Machine Operator (Foot-Wear),Cleans and oils machine and requests any needed repairs.,"",""
8342.0101-t01,834,Bulldozer Operator,"Operates bulldozer (caterpillar tractor with concave steel scrapper blade mounted in front of chassis) to move, distribute and level earth.","",""
8342.0101-t02,834,Bulldozer Operator,"Starts motor and adjusts hand lever to regulate height of scrapper blade from ground; engages clutch and releases brake to drive machin e to push earth; operates levers to level and distribute it; lubricates, fuels and makes minor repairs to machine.","",""
8342.0101-t03,834,Bulldozer Operator,May push and pull other equipment with bulldozer.,"",""
8160.0300-t01,816,Pasteurising Plant Operator (Dairy),Pasteurising Plant Operator.,"",""
8160.0300-t02,816,Pasteurising Plant Operator (Dairy),Pasteuriser (Dairy) operates pasteurizing plant to remove harmful bacteria from raw milk and other dairy products.,"",""
8160.0300-t03,816,Pasteurising Plant Operator (Dairy),Pumps cold raw milk or other dairy products through a heating tank; maintains liquid at required temperature for a specified time and pumps it through cooling unit into bottling machine; checks thermometers and gauges and makes necessary adjustments to ensure that liquid is properly pasteurized; cleans and sterilizes tanks and inter-connecting pipes; disconnects filter and renew or c leans straining devices.,"",""
8160.0300-t04,816,Pasteurising Plant Operator (Dairy),May drain out pasteurized milk into container through tap fitted in plant.,"",""
9313.0100-t01,931,Well Digger Helper,Assists Well Digger in digging well by hauling and emptying excavated material and performing other miscellaneous tasks.,"",""
9313.0100-t02,931,Well Digger Helper,"Carries bricks, lays them in order and soaks them with water before use.","",""
9313.0100-t03,931,Well Digger Helper,Digs well by spade and bails out mud in b asket.,"",""
9313.0100-t04,931,Well Digger Helper,Lays tripod structure and prepares mortar as directed.,"",""
9313.0100-t05,931,Well Digger Helper,Assists in setting earthen or cement rings in creating pressure and lowering outer constructed wall into dug space of well.,"",""
9313.0100-t06,931,Well Digger Helper,"Keeps bullocks on move to pull mud, bucket out of well through string and attends to other tasks as directed.","",""
9211.0100-t01,921,Ploughman,ploughs fields to prepare soil for growing crops and feeds bullocks at scheduled hour.,"",""
9211.0100-t02,921,Ploughman,"Collects plough and bullocks in morning and checks fittings, boltings, condition of plough, etc.","",""
9211.0100-t03,921,Ploughman,Harnesses bullocks to plough and ploughs field using different types of plough according to necessity.,"",""
9211.0100-t04,921,Ploughman,"Collects, mixes and prepares feed for bullocks and feeds them at prescribed time.","",""
9211.0100-t05,921,Ploughman,May repair or change shear of plough as and when required.,"",""
9321.0101-t01,932,"Packer, Hand; Carton Filler; Boxer; Case Packer","packs material and products by hand in bags, barrels, baskets, boxes, cartons, and crates for purpose of storage or transport performing any combination of following duties.","",""
9321.0101-t02,932,"Packer, Hand; Carton Filler; Boxer; Case Packer","Examines product for brittleness, fragility, moisture and other characteristics.","",""
9321.0101-t03,932,"Packer, Hand; Carton Filler; Boxer; Case Packer",Collects packaging containers and cleans them.,"",""
9321.0101-t04,932,"Packer, Hand; Carton Filler; Boxer; Case Packer",Lines and pads crates.,"",""
9321.0101-t05,932,"Packer, Hand; Carton Filler; Boxer; Case Packer",Assembles cartons from flattened state.,"",""
9321.0101-t06,932,"Packer, Hand; Carton Filler; Boxer; Case Packer",Wraps protective material around product.,"",""
9321.0101-t07,932,"Packer, Hand; Carton Filler; Boxer; Case Packer",Weighs containers and adjusts quantity.,"",""
9321.0101-t08,932,"Packer, Hand; Carton Filler; Boxer; Case Packer",Places or pours product into containers or fills containers from spout or chute.,"",""
9321.0101-t09,932,"Packer, Hand; Carton Filler; Boxer; Case Packer","Inserts excelsior, shredded paper, wood wool or paper trays on top of product.","",""
9321.0101-t10,932,"Packer, Hand; Carton Filler; Boxer; Case Packer","Sews bag, fits lids on container, nails, wires or otherwise closes containers.","",""
9321.0101-t11,932,"Packer, Hand; Carton Filler; Boxer; Case Packer","Stamps grade, brand, and date of packing on containers.","",""
9321.0101-t12,932,"Packer, Hand; Carton Filler; Boxer; Case Packer","Visually inspects materials, products and containers at each step of packaging process.","",""
9321.0101-t13,932,"Packer, Hand; Carton Filler; Boxer; Case Packer","May be designated according to whether high production or small lot packaging as PACKAGING-LINE ATTENDANT, FANCY PACKER or according to goods packed, machines handled or industry in which employed such as PACKER BAGS.","",""
9321.0101-t14,932,"Packer, Hand; Carton Filler; Boxer; Case Packer","PACKER, BISCUITS.","",""
9321.0101-t15,932,"Packer, Hand; Carton Filler; Boxer; Case Packer","PACKER, CHEMICAL PRODUCTS.","",""
9321.0101-t16,932,"Packer, Hand; Carton Filler; Boxer; Case Packer","PACKER, MATCH BOXES.","",""
9321.0101-t17,932,"Packer, Hand; Carton Filler; Boxer; Case Packer",BOTTLING MACHINE OPERATOR.,"",""
9321.0101-t18,932,"Packer, Hand; Carton Filler; Boxer; Case Packer","SEALING MACHINE OPERATOR, BALE PRESSER.","",""
9111.0100-t01,911,Domestic Servant,Performs general house-hold duties and attends to personal comforts of master or employer.,"",""
9111.0100-t02,911,Domestic Servant,"Performs domestic work of routine nature such as sweeping and dusting of rooms and furniture, making beds, serving meals, purchasing vegetables, meat, fish etc. from market, storing water and doing odd jobs.","",""
9111.0100-t03,911,Domestic Servant,"Prepares tea, coffee and meals.","",""
9111.0100-t04,911,Domestic Servant,"Lays the table, cleans soiled and used plates and cooking utensils.","",""
9111.0100-t05,911,Domestic Servant,"May wash clothes and look after tamed animals such as cow, dog, etc.","",""
9111.0100-t06,911,Domestic Servant,May look after children.,"",""
9331.0100-t01,933,"Driver, Cycle Rickshaw","Drives cycle rickshaw on hire or as paid by employee to transport passengers from one place to another, observing road signals and traffic rules.","",""
9331.0100-t02,933,"Driver, Cycle Rickshaw",Drives passengers to destination and helps in loading and unloading luggage.,"",""
9331.0100-t03,933,"Driver, Cycle Rickshaw",Cleans and oils rickshaw and attends to minor repairs.,"",""
9331.0100-t04,933,"Driver, Cycle Rickshaw",Settles and collects fare if plying on hire.,"",""
9613.0300-t01,961,"Sweeper, Dry","Cleans, sweeps and scrubs buildings, streets, parks, etc. and removes garbage.","",""
9613.0300-t02,961,"Sweeper, Dry","Sweeps with broom or brush floors of buildings, roads, parks, e tc.","",""
9613.0300-t03,961,"Sweeper, Dry",Removes dust and garbage in basket to dustbin.,"",""
9613.0300-t04,961,"Sweeper, Dry","Scrubs floor with cloth, wet in phenyl and water to remove fine dust.","",""
9613.0300-t05,961,"Sweeper, Dry",May clean carpets and rugs with brush and dust furniture and fixtures.,"",""
9613.0300-t06,961,"Sweeper, Dry",May prepare the broom.,"",""
9613.0300-t07,961,"Sweeper, Dry",May dump garbage in cart and carry garbag e in hand cart or in animal driven cart to the dumping ground.,"",""
9520.0100-t01,952,Hawker; Peddler; Street Vendor; Pheriwala,"sells articles of daily utility and general merchandise such as vegetables, sweets, cloth, utensils, toys, etc. on footpaths or by going from door to door.","",""
9520.0100-t02,952,Hawker; Peddler; Street Vendor; Pheriwala,"Purchases goods from wholesale market according to his needs, and capital (money) availab le.","",""
9520.0100-t03,952,Hawker; Peddler; Street Vendor; Pheriwala,"Loads them in basket, or on pushcart, wheel-barrow or tricycle and moves in selected areas to effect sales.","",""
9520.0100-t04,952,Hawker; Peddler; Street Vendor; Pheriwala,Announces loudly regarding the goods or articles on sale and their prices to attract customers.,"",""
9520.0100-t05,952,Hawker; Peddler; Street Vendor; Pheriwala,"Attends to customers and effects sale by measuri ng, weighing or counting, as necessary.","",""
9520.0100-t06,952,Hawker; Peddler; Street Vendor; Pheriwala,May also display goods or articles of sale on foot-path and effect sales.,"",""
9520.0100-t07,952,Hawker; Peddler; Street Vendor; Pheriwala,"May purchase goods in lot, in auction or other sale.","",""
9520.0100-t08,952,Hawker; Peddler; Street Vendor; Pheriwala,May prepare and sell his own products and may operate means of conveyance.,"",""
9520.0100-t09,952,Hawker; Peddler; Street Vendor; Pheriwala,May work on sa lary or commission basis or both.,"",""
9121.0100-t01,912,Dhobi; Washer,manwashes and cleans garments and other articles of washable fabrics and presses them.,"",""
9121.0100-t02,912,Dhobi; Washer,"Collects soiled clothes and garments from clients, marks them with marking ink for identification.","",""
9121.0100-t03,912,Dhobi; Washer,Sorts soiled articles according to type and treatment to be given.,"",""
9121.0100-t04,912,Dhobi; Washer,"Fills tub with water and adds proper amount of soap, washing soda or other chemicals and dips coloured or delicate garments into soapy water or chemical solution and agitates it by hand.","",""
9121.0100-t05,912,Dhobi; Washer,"Spreads wet garments on flat surface, and scrubs with hand or brush and ri nses garment in clear water till dirty water stops coming out.","",""
9121.0100-t06,912,Dhobi; Washer,"Treats excessively soiled garments of coarse cloth separately by applying chemicals on them, by hand, boiling them in tub or in closed oven, beating them with hand on stone or club on stone or wood and washing them in clear water in tanks, rivers and lakes.","",""
9121.0100-t07,912,Dhobi; Washer,"Dries garments in open air by hanging them on rope, wire or spreading them on ground.","",""
9121.0100-t08,912,Dhobi; Washer,Irons dried garments using hand iron-press.,"",""
9121.0100-t09,912,Dhobi; Washer,May wash garments and other textile furnishings in machine.,"",""
9121.0100-t10,912,Dhobi; Washer,M ay treat white and delicate garments with chemicals (Blue and Starch) for shine and bleaching.,"",""
9621.0300-t01,962,Caddie,"carries bags of golf equipment around golf course, delivering clubs to players as requested.","",""
9621.0300-t02,962,Caddie,"Keeps different types of golf clubs in leather bag; places golf ball over the small mound (on which golf-ball is placed for first stroke by player) and advises players, on request, in selection of proper club for particular stroke and/or on peculiarities of cou rse; follows golf-ball after hit along with player and locates it, supplies required type of golf club for further stroke; collects golf clubs from player at close of play, cleans them and keeps kit in good condition.","",""
9621.0300-t03,962,Caddie,"May inform player about type, conditio n and location of hole; may assist golf-professional (marker) in up-keep of golf course.","",""
9412.0100-t01,941,Kitchen Helper,Performs any combination of following duties to maintain kitchen work areas and restaurant equipment and utensils in clean and orderly condition: Sweeps and mops floors.,"",""
9412.0100-t02,941,Kitchen Helper,"Washes worktables, walls, refrigerators, and meat blocks.","",""
9412.0100-t03,941,Kitchen Helper,Segregates and removes trash and garbage and places it in designated containers.,"",""
9412.0100-t04,941,Kitchen Helper,Steam-cleans or hoses-out garbage cans.,"",""
9412.0100-t05,941,Kitchen Helper,"Sorts bottles, and breaks disposable ones in bottle-crushing machine.","",""
9412.0100-t06,941,Kitchen Helper,"Washes pots, pans, and trays by hand.","",""
9412.0100-t07,941,Kitchen Helper,Scrapes food from dirty dishes and washes them by hand or places them in racks or on conveyor to dishwashing machine.,"",""
9412.0100-t08,941,Kitchen Helper,"Polishes silver, using burnishing-machine tumbler, chemical dip, buffing wheel, and hand cloth.","",""
9412.0100-t09,941,Kitchen Helper,Transfers supplies and equipment between storage and work areas by hand o r by use of hand pulled trolley.,"",""
9412.0100-t10,941,Kitchen Helper,Sets up banquet tables.,"",""
9412.0100-t11,941,Kitchen Helper,"Washes and peels vegetables, using knife or peeling machine.","",""
9412.0100-t12,941,Kitchen Helper,Loads or unloads trucks picking up or delivering supplies and food.,"",""
9510.0100-t01,951,Boot Polisher,Cleans and polishes shoes.,"",""
9510.0100-t02,951,Boot Polisher,"Brushes shoes to remove dust; applies cleaning agents like soap or other chemical solution for removing dirt and spots from soiled shoes using sponge or cloth; applies polish, colour or chalk-powder (dry or mixed with liquid) with finger, brush or soft cloth on leather, canvas or other shoes; rubs surface of leather-shoes with soft brush to make them shine; applies chalk or solution on canvas or other non-leather shoes and allows them to dry; finishes leather shoes by further rubbing them with soft cloth or flannel piece; finishes non-leather s hoes by retouching with appropriate cleaning matter and by removing superfluous coat and spots.","",""
